group_name,int_id,id,length,parent_name,route_name,route_parent_id,opposite_route_int_id
18,1590,1d6f6a1a-0181-462e-ad1c-9d6e6eaeaabd,7381.009984365127,KOLODVOR - GARAŽA,GARAŽA;  osnovna,cbfcfdc3-793b-47e0-b0fd-e4d475b1af5d,
1,1607,8dcdc3cd-7b49-43f5-9770-2f759ec752b1,14867.039471791339,D BROD - VIŽMARJE DOLGI MOST P+R,D DOLGI MOST P+R;  osnovna,bc06ce25-2b63-42de-b71a-13f945ef1433,
57,1608,2f9041f8-7d69-488e-8d01-42b040193855,11644.025269527523,L OŠ IC - Vrnika - Verd - Bistra - Breg,BREG,995884bc-0244-4de9-af1d-d4b55e78d2ff,
57,1609,83e785e8-4cdf-486c-a799-61655f91cc28,16233.803123401252,M OŠ IC - OŠ AMS - Raz. S.G - Opek.,OPEKARNA,7bfb1e43-5c6e-4d9e-b32e-130760b39aa8,
12,1610,c8ae24c9-0c77-43df-bfe2-2476d9063f80,14123.264802110429,VEVČE - BEŽIGRAD,GARAŽA,a5ea5391-a94d-4101-8f09-6eb49ab0826e,
43,1611,1a89f09a-7bdc-4510-8395-de9d9a13a1ad,11140.34577939935,Notranje Gorice - Goričica - Preserje,Preserje,a1d22c8c-9fc3-46c9-9efa-3bbe84d04c3b,
43,1612,0a8eaac9-e1b2-48e3-9b6d-28c399166032,11067.73684754663,Preserje - Goričica - Notranje Gorice,Notranje gorice,0d143902-0a23-4811-854f-9b178437087e,
43,1614,136ed261-d8cb-4fbf-b0b6-09fe6f4400fe,10994.230608133355,Notranje Gorice - Preserje - Goričica,Goričica,8cb91b1f-e905-441a-b533-cf696fb982bc,
43,1613,a9513d8f-0c19-4917-b8ae-e9ca8ba65be3,10904.106458012919,Goričica - Preserje - Notranje Gorice,Notranje gorice,27851eb0-c5a3-4634-8c8c-16eab41765b6,
13,1615,7e0a03ef-bb77-4696-bec1-7d32bc48093d,10910.621477105613,BEŽIGRAD - SOSTRO,SOSTRO,80aae4e2-4cb7-492e-9b91-6e282d06cbb1,
13,1616,e0597eb3-587e-4a89-aa52-4cb5e3edd39d,10353.30406620428,SOSTRO - BEŽIGRAD,BEŽIGRAD,0e0a9cb1-a4ed-4cb5-a617-87b33ece90c0,
12,1617,d0444ae1-498e-4b72-99d9-63bdf9c06048,13434.133716791279,D BEŽIGRAD - PODGORICA,D PODGORICA,c6fd3bc1-f064-4e17-9313-8864baf6fbd1,1618
12,1618,75445348-92ca-4bb5-ae21-5c73212df925,9434.99172647938,D PODGORICA - BEŽIGRAD,D BEŽIGRAD,8cfea638-fdfb-4f77-bd60-f8787740474b,1617
26,1619,6dc83868-6141-4207-bee1-1a3f9f84f203,32860.56406200575,MALI LIPOGLAV - TUJI GRM,TUJI GRM,d5ec7c81-4ce4-4c49-8309-b12bd80d26cf,
26,1620,44b6a776-b3b1-4376-a4bb-31da326ee7a2,32595.31101413167,TUJI GRM - MALI LIPOGLAV,MALI LIPOGLAV,92be8bce-e8eb-48e9-a0b2-e64a09852ec8,
26,1621,98de0c3b-ce55-4817-be6b-1d6a730f685a,12779.727632297403,MALI LIPOGLAV - SOSTRO,SOSTRO,ff656e08-2f7a-40dd-b9d1-26a3d6ef986c,
26,1622,1f448067-2e84-4434-b4be-fe2e678dd38e,10049.117078982285,SOSTRO - MALI LIPOGLAV,MALI LIPOGLAV,4099201d-3aac-45c1-b74e-27cb7826e7e1,
26,1623,8127b777-170b-4a0e-959d-333feabbe6fb,23395.80301122269,MALI LIPOGLAV - SOSTRO,GARAŽA,ff656e08-2f7a-40dd-b9d1-26a3d6ef986c,
26,1624,0f3733ce-08d2-466b-8d5a-da34c1895891,23517.058882292517,TUJI GRM - SOSTRO,SOSTRO,f166e4d4-3523-4e51-a31d-79f1b46694c7,
